"year","month","pi","ts","time"
1500,1,0,1500.04,"1500-1-15 00:00:00"
1500,2,0,1500.12,"1500-2-15 00:00:00"
1500,3,0,1500.21,"1500-3-15 00:00:00"
1500,4,1,1500.29,"1500-4-15 00:00:00"
1500,5,1,1500.38,"1500-5-15 00:00:00"
1500,6,-2,1500.46,"1500-6-15 00:00:00"
1500,7,-2,1500.54,"1500-7-15 00:00:00"
1500,8,2,1500.62,"1500-8-15 00:00:00"
1500,9,0,1500.71,"1500-9-15 00:00:00"
1500,10,0,1500.79,"1500-10-15 00:00:00"
1500,11,1,1500.88,"1500-11-15 00:00:00"
1500,12,1,1500.96,"1500-12-15 00:00:00"
1501,1,0,1501.04,"1501-1-15 00:00:00"
1501,2,0,1501.12,"1501-2-15 00:00:00"
1501,3,1,1501.21,"1501-3-15 00:00:00"
1501,4,1,1501.29,"1501-4-15 00:00:00"
1501,5,1,1501.38,"1501-5-15 00:00:00"
1501,6,0,1501.46,"1501-6-15 00:00:00"
1501,7,0,1501.54,"1501-7-15 00:00:00"
1501,8,2,1501.62,"1501-8-15 00:00:00"
1501,9,0,1501.71,"1501-9-15 00:00:00"
1501,10,0,1501.79,"1501-10-15 00:00:00"
1501,11,2,1501.88,"1501-11-15 00:00:00"
1501,12,2,1501.96,"1501-12-15 00:00:00"
1502,1,1,1502.04,"1502-1-15 00:00:00"
1502,2,2,1502.12,"1502-2-15 00:00:00"
1502,3,1,1502.21,"1502-3-15 00:00:00"
1502,4,0,1502.29,"1502-4-15 00:00:00"
1502,5,0,1502.38,"1502-5-15 00:00:00"
1502,6,0,1502.46,"1502-6-15 00:00:00"
1502,7,-2,1502.54,"1502-7-15 00:00:00"
1502,8,-1,1502.62,"1502-8-15 00:00:00"
1502,9,1,1502.71,"1502-9-15 00:00:00"
1502,10,1,1502.79,"1502-10-15 00:00:00"
1502,11,2,1502.88,"1502-11-15 00:00:00"
1502,12,1,1502.96,"1502-12-15 00:00:00"
1503,1,1,1503.04,"1503-1-15 00:00:00"
1503,2,1,1503.12,"1503-2-15 00:00:00"
1503,3,0,1503.21,"1503-3-15 00:00:00"
1503,4,-1,1503.29,"1503-4-15 00:00:00"
1503,5,-2,1503.38,"1503-5-15 00:00:00"
1503,6,-2,1503.46,"1503-6-15 00:00:00"
1503,7,-1,1503.54,"1503-7-15 00:00:00"
1503,8,0,1503.62,"1503-8-15 00:00:00"
1503,9,1,1503.71,"1503-9-15 00:00:00"
1503,10,2,1503.79,"1503-10-15 00:00:00"
1503,11,2,1503.88,"1503-11-15 00:00:00"
1503,12,0,1503.96,"1503-12-15 00:00:00"
1504,1,2,1504.04,"1504-1-15 00:00:00"
1504,2,2,1504.12,"1504-2-15 00:00:00"
1504,3,0,1504.21,"1504-3-15 00:00:00"
1504,4,-2,1504.29,"1504-4-15 00:00:00"
1504,5,-2,1504.38,"1504-5-15 00:00:00"
1504,6,-2,1504.46,"1504-6-15 00:00:00"
1504,7,-1,1504.54,"1504-7-15 00:00:00"
1504,8,-1,1504.62,"1504-8-15 00:00:00"
1504,9,0,1504.71,"1504-9-15 00:00:00"
1504,10,0,1504.79,"1504-10-15 00:00:00"
1504,11,0,1504.88,"1504-11-15 00:00:00"
1504,12,0,1504.96,"1504-12-15 00:00:00"
1505,1,1,1505.04,"1505-1-15 00:00:00"
1505,2,1,1505.12,"1505-2-15 00:00:00"
1505,3,0,1505.21,"1505-3-15 00:00:00"
1505,4,0,1505.29,"1505-4-15 00:00:00"
1505,5,0,1505.38,"1505-5-15 00:00:00"
1505,6,0,1505.46,"1505-6-15 00:00:00"
1505,7,2,1505.54,"1505-7-15 00:00:00"
1505,8,2,1505.62,"1505-8-15 00:00:00"
1505,9,1,1505.71,"1505-9-15 00:00:00"
1505,10,1,1505.79,"1505-10-15 00:00:00"
1505,11,0,1505.88,"1505-11-15 00:00:00"
1505,12,0,1505.96,"1505-12-15 00:00:00"
1506,1,0,1506.04,"1506-1-15 00:00:00"
1506,2,0,1506.12,"1506-2-15 00:00:00"
1506,3,0,1506.21,"1506-3-15 00:00:00"
1506,4,0,1506.29,"1506-4-15 00:00:00"
1506,5,0,1506.38,"1506-5-15 00:00:00"
1506,6,-2,1506.46,"1506-6-15 00:00:00"
1506,7,-1,1506.54,"1506-7-15 00:00:00"
1506,8,0,1506.62,"1506-8-15 00:00:00"
1506,9,0,1506.71,"1506-9-15 00:00:00"
1506,10,0,1506.79,"1506-10-15 00:00:00"
1506,11,0,1506.88,"1506-11-15 00:00:00"
1506,12,0,1506.96,"1506-12-15 00:00:00"
1507,1,0,1507.04,"1507-1-15 00:00:00"
1507,2,0,1507.12,"1507-2-15 00:00:00"
1507,3,-1,1507.21,"1507-3-15 00:00:00"
1507,4,-1,1507.29,"1507-4-15 00:00:00"
1507,5,0,1507.38,"1507-5-15 00:00:00"
1507,6,-2,1507.46,"1507-6-15 00:00:00"
1507,7,1,1507.54,"1507-7-15 00:00:00"
1507,8,0,1507.62,"1507-8-15 00:00:00"
1507,9,-1,1507.71,"1507-9-15 00:00:00"
1507,10,-1,1507.79,"1507-10-15 00:00:00"
1507,11,0,1507.88,"1507-11-15 00:00:00"
1507,12,0,1507.96,"1507-12-15 00:00:00"
1508,1,0,1508.04,"1508-1-15 00:00:00"
1508,2,0,1508.12,"1508-2-15 00:00:00"
1508,3,1,1508.21,"1508-3-15 00:00:00"
1508,4,1,1508.29,"1508-4-15 00:00:00"
1508,5,1,1508.38,"1508-5-15 00:00:00"
1508,6,0,1508.46,"1508-6-15 00:00:00"
1508,7,1,1508.54,"1508-7-15 00:00:00"
1508,8,2,1508.62,"1508-8-15 00:00:00"
1508,9,1,1508.71,"1508-9-15 00:00:00"
1508,10,0,1508.79,"1508-10-15 00:00:00"
1508,11,1,1508.88,"1508-11-15 00:00:00"
1508,12,0,1508.96,"1508-12-15 00:00:00"
1509,1,0,1509.04,"1509-1-15 00:00:00"
1509,2,0,1509.12,"1509-2-15 00:00:00"
1509,3,0,1509.21,"1509-3-15 00:00:00"
1509,4,0,1509.29,"1509-4-15 00:00:00"
1509,5,0,1509.38,"1509-5-15 00:00:00"
1509,6,1,1509.46,"1509-6-15 00:00:00"
1509,7,1,1509.54,"1509-7-15 00:00:00"
1509,8,-3,1509.62,"1509-8-15 00:00:00"
1509,9,-2,1509.71,"1509-9-15 00:00:00"
1509,10,-1,1509.79,"1509-10-15 00:00:00"
1509,11,0,1509.88,"1509-11-15 00:00:00"
1509,12,0,1509.96,"1509-12-15 00:00:00"
1510,1,-1,1510.04,"1510-1-15 00:00:00"
1510,2,-1,1510.12,"1510-2-15 00:00:00"
1510,3,1,1510.21,"1510-3-15 00:00:00"
1510,4,0,1510.29,"1510-4-15 00:00:00"
1510,5,2,1510.38,"1510-5-15 00:00:00"
1510,6,0,1510.46,"1510-6-15 00:00:00"
1510,7,0,1510.54,"1510-7-15 00:00:00"
1510,8,0,1510.62,"1510-8-15 00:00:00"
1510,9,0,1510.71,"1510-9-15 00:00:00"
1510,10,0,1510.79,"1510-10-15 00:00:00"
1510,11,-1,1510.88,"1510-11-15 00:00:00"
1510,12,2,1510.96,"1510-12-15 00:00:00"
1511,1,0,1511.04,"1511-1-15 00:00:00"
1511,2,2,1511.12,"1511-2-15 00:00:00"
1511,3,1,1511.21,"1511-3-15 00:00:00"
1511,4,0,1511.29,"1511-4-15 00:00:00"
1511,5,1,1511.38,"1511-5-15 00:00:00"
1511,6,1,1511.46,"1511-6-15 00:00:00"
1511,7,3,1511.54,"1511-7-15 00:00:00"
1511,8,1,1511.62,"1511-8-15 00:00:00"
1511,9,1,1511.71,"1511-9-15 00:00:00"
1511,10,0,1511.79,"1511-10-15 00:00:00"
1511,11,0,1511.88,"1511-11-15 00:00:00"
1511,12,0,1511.96,"1511-12-15 00:00:00"
1512,1,-1,1512.04,"1512-1-15 00:00:00"
1512,2,-2,1512.12,"1512-2-15 00:00:00"
1512,3,0,1512.21,"1512-3-15 00:00:00"
1512,4,-1,1512.29,"1512-4-15 00:00:00"
1512,5,1,1512.38,"1512-5-15 00:00:00"
1512,6,2,1512.46,"1512-6-15 00:00:00"
1512,7,-2,1512.54,"1512-7-15 00:00:00"
1512,8,-1,1512.62,"1512-8-15 00:00:00"
1512,9,3,1512.71,"1512-9-15 00:00:00"
1512,10,-1,1512.79,"1512-10-15 00:00:00"
1512,11,0,1512.88,"1512-11-15 00:00:00"
1512,12,2,1512.96,"1512-12-15 00:00:00"
1513,1,1,1513.04,"1513-1-15 00:00:00"
1513,2,0,1513.12,"1513-2-15 00:00:00"
1513,3,0,1513.21,"1513-3-15 00:00:00"
1513,4,1,1513.29,"1513-4-15 00:00:00"
1513,5,0,1513.38,"1513-5-15 00:00:00"
1513,6,-1,1513.46,"1513-6-15 00:00:00"
1513,7,0,1513.54,"1513-7-15 00:00:00"
1513,8,-1,1513.62,"1513-8-15 00:00:00"
1513,9,-1,1513.71,"1513-9-15 00:00:00"
1513,10,0,1513.79,"1513-10-15 00:00:00"
1513,11,-3,1513.88,"1513-11-15 00:00:00"
1513,12,0,1513.96,"1513-12-15 00:00:00"
1514,1,-3,1514.04,"1514-1-15 00:00:00"
1514,2,3,1514.12,"1514-2-15 00:00:00"
1514,3,2,1514.21,"1514-3-15 00:00:00"
1514,4,1,1514.29,"1514-4-15 00:00:00"
1514,5,0,1514.38,"1514-5-15 00:00:00"
1514,6,0,1514.46,"1514-6-15 00:00:00"
1514,7,-1,1514.54,"1514-7-15 00:00:00"
1514,8,0,1514.62,"1514-8-15 00:00:00"
1514,9,2,1514.71,"1514-9-15 00:00:00"
1514,10,3,1514.79,"1514-10-15 00:00:00"
1514,11,3,1514.88,"1514-11-15 00:00:00"
1514,12,-1,1514.96,"1514-12-15 00:00:00"
1515,1,3,1515.04,"1515-1-15 00:00:00"
1515,2,2,1515.12,"1515-2-15 00:00:00"
1515,3,3,1515.21,"1515-3-15 00:00:00"
1515,4,2,1515.29,"1515-4-15 00:00:00"
1515,5,0,1515.38,"1515-5-15 00:00:00"
1515,6,3,1515.46,"1515-6-15 00:00:00"
1515,7,3,1515.54,"1515-7-15 00:00:00"
1515,8,3,1515.62,"1515-8-15 00:00:00"
1515,9,-3,1515.71,"1515-9-15 00:00:00"
1515,10,2,1515.79,"1515-10-15 00:00:00"
1515,11,3,1515.88,"1515-11-15 00:00:00"
1515,12,0,1515.96,"1515-12-15 00:00:00"
1516,1,-3,1516.04,"1516-1-15 00:00:00"
1516,2,3,1516.12,"1516-2-15 00:00:00"
1516,3,1,1516.21,"1516-3-15 00:00:00"
1516,4,-1,1516.29,"1516-4-15 00:00:00"
1516,5,-2,1516.38,"1516-5-15 00:00:00"
1516,6,0,1516.46,"1516-6-15 00:00:00"
1516,7,-3,1516.54,"1516-7-15 00:00:00"
1516,8,-2,1516.62,"1516-8-15 00:00:00"
1516,9,-1,1516.71,"1516-9-15 00:00:00"
1516,10,-1,1516.79,"1516-10-15 00:00:00"
1516,11,-1,1516.88,"1516-11-15 00:00:00"
1516,12,3,1516.96,"1516-12-15 00:00:00"
1517,1,1,1517.04,"1517-1-15 00:00:00"
1517,2,-2,1517.12,"1517-2-15 00:00:00"
1517,3,-3,1517.21,"1517-3-15 00:00:00"
1517,4,-2,1517.29,"1517-4-15 00:00:00"
1517,5,-1,1517.38,"1517-5-15 00:00:00"
1517,6,-2,1517.46,"1517-6-15 00:00:00"
1517,7,3,1517.54,"1517-7-15 00:00:00"
1517,8,2,1517.62,"1517-8-15 00:00:00"
1517,9,1,1517.71,"1517-9-15 00:00:00"
1517,10,-2,1517.79,"1517-10-15 00:00:00"
1517,11,-1,1517.88,"1517-11-15 00:00:00"
1517,12,0,1517.96,"1517-12-15 00:00:00"
1518,1,2,1518.04,"1518-1-15 00:00:00"
1518,2,0,1518.12,"1518-2-15 00:00:00"
1518,3,2,1518.21,"1518-3-15 00:00:00"
1518,4,0,1518.29,"1518-4-15 00:00:00"
1518,5,-3,1518.38,"1518-5-15 00:00:00"
1518,6,-1,1518.46,"1518-6-15 00:00:00"
1518,7,0,1518.54,"1518-7-15 00:00:00"
1518,8,0,1518.62,"1518-8-15 00:00:00"
1518,9,2,1518.71,"1518-9-15 00:00:00"
1518,10,-2,1518.79,"1518-10-15 00:00:00"
1518,11,0,1518.88,"1518-11-15 00:00:00"
1518,12,-3,1518.96,"1518-12-15 00:00:00"
1519,1,1,1519.04,"1519-1-15 00:00:00"
1519,2,2,1519.12,"1519-2-15 00:00:00"
1519,3,0,1519.21,"1519-3-15 00:00:00"
1519,4,-2,1519.29,"1519-4-15 00:00:00"
1519,5,3,1519.38,"1519-5-15 00:00:00"
1519,6,1,1519.46,"1519-6-15 00:00:00"
1519,7,2,1519.54,"1519-7-15 00:00:00"
1519,8,1,1519.62,"1519-8-15 00:00:00"
1519,9,1,1519.71,"1519-9-15 00:00:00"
1519,10,1,1519.79,"1519-10-15 00:00:00"
1519,11,1,1519.88,"1519-11-15 00:00:00"
1519,12,0,1519.96,"1519-12-15 00:00:00"
1520,1,0,1520.04,"1520-1-15 00:00:00"
1520,2,-2,1520.12,"1520-2-15 00:00:00"
1520,3,0,1520.21,"1520-3-15 00:00:00"
1520,4,0,1520.29,"1520-4-15 00:00:00"
1520,5,1,1520.38,"1520-5-15 00:00:00"
1520,6,0,1520.46,"1520-6-15 00:00:00"
1520,7,0,1520.54,"1520-7-15 00:00:00"
1520,8,2,1520.62,"1520-8-15 00:00:00"
1520,9,3,1520.71,"1520-9-15 00:00:00"
1520,10,0,1520.79,"1520-10-15 00:00:00"
1520,11,0,1520.88,"1520-11-15 00:00:00"
1520,12,0,1520.96,"1520-12-15 00:00:00"
1521,1,0,1521.04,"1521-1-15 00:00:00"
1521,2,0,1521.12,"1521-2-15 00:00:00"
1521,3,1,1521.21,"1521-3-15 00:00:00"
1521,4,-1,1521.29,"1521-4-15 00:00:00"
1521,5,-2,1521.38,"1521-5-15 00:00:00"
1521,6,-1,1521.46,"1521-6-15 00:00:00"
1521,7,-2,1521.54,"1521-7-15 00:00:00"
1521,8,-1,1521.62,"1521-8-15 00:00:00"
1521,9,-2,1521.71,"1521-9-15 00:00:00"
1521,10,-1,1521.79,"1521-10-15 00:00:00"
1521,11,-2,1521.88,"1521-11-15 00:00:00"
1521,12,-3,1521.96,"1521-12-15 00:00:00"
1522,1,-2,1522.04,"1522-1-15 00:00:00"
1522,2,0,1522.12,"1522-2-15 00:00:00"
1522,3,0,1522.21,"1522-3-15 00:00:00"
1522,4,2,1522.29,"1522-4-15 00:00:00"
1522,5,1,1522.38,"1522-5-15 00:00:00"
1522,6,2,1522.46,"1522-6-15 00:00:00"
1522,7,0,1522.54,"1522-7-15 00:00:00"
1522,8,0,1522.62,"1522-8-15 00:00:00"
1522,9,0,1522.71,"1522-9-15 00:00:00"
1522,10,1,1522.79,"1522-10-15 00:00:00"
1522,11,1,1522.88,"1522-11-15 00:00:00"
1522,12,3,1522.96,"1522-12-15 00:00:00"
1523,1,0,1523.04,"1523-1-15 00:00:00"
1523,2,0,1523.12,"1523-2-15 00:00:00"
1523,3,-1,1523.21,"1523-3-15 00:00:00"
1523,4,-1,1523.29,"1523-4-15 00:00:00"
1523,5,0,1523.38,"1523-5-15 00:00:00"
1523,6,1,1523.46,"1523-6-15 00:00:00"
1523,7,-2,1523.54,"1523-7-15 00:00:00"
1523,8,-3,1523.62,"1523-8-15 00:00:00"
1523,9,0,1523.71,"1523-9-15 00:00:00"
1523,10,0,1523.79,"1523-10-15 00:00:00"
1523,11,2,1523.88,"1523-11-15 00:00:00"
1523,12,2,1523.96,"1523-12-15 00:00:00"
1524,1,3,1524.04,"1524-1-15 00:00:00"
1524,2,2,1524.12,"1524-2-15 00:00:00"
1524,3,0,1524.21,"1524-3-15 00:00:00"
1524,4,0,1524.29,"1524-4-15 00:00:00"
1524,5,-1,1524.38,"1524-5-15 00:00:00"
1524,6,1,1524.46,"1524-6-15 00:00:00"
1524,7,1,1524.54,"1524-7-15 00:00:00"
1524,8,1,1524.62,"1524-8-15 00:00:00"
1524,9,0,1524.71,"1524-9-15 00:00:00"
1524,10,-1,1524.79,"1524-10-15 00:00:00"
1524,11,-1,1524.88,"1524-11-15 00:00:00"
1524,12,0,1524.96,"1524-12-15 00:00:00"
1525,1,1,1525.04,"1525-1-15 00:00:00"
1525,2,-1,1525.12,"1525-2-15 00:00:00"
1525,3,-1,1525.21,"1525-3-15 00:00:00"
1525,4,-1,1525.29,"1525-4-15 00:00:00"
1525,5,0,1525.38,"1525-5-15 00:00:00"
1525,6,0,1525.46,"1525-6-15 00:00:00"
1525,7,-1,1525.54,"1525-7-15 00:00:00"
1525,8,1,1525.62,"1525-8-15 00:00:00"
1525,9,0,1525.71,"1525-9-15 00:00:00"
1525,10,0,1525.79,"1525-10-15 00:00:00"
1525,11,1,1525.88,"1525-11-15 00:00:00"
1525,12,-1,1525.96,"1525-12-15 00:00:00"
1526,1,1,1526.04,"1526-1-15 00:00:00"
1526,2,1,1526.12,"1526-2-15 00:00:00"
1526,3,3,1526.21,"1526-3-15 00:00:00"
1526,4,-1,1526.29,"1526-4-15 00:00:00"
1526,5,1,1526.38,"1526-5-15 00:00:00"
1526,6,-1,1526.46,"1526-6-15 00:00:00"
1526,7,2,1526.54,"1526-7-15 00:00:00"
1526,8,0,1526.62,"1526-8-15 00:00:00"
1526,9,0,1526.71,"1526-9-15 00:00:00"
1526,10,1,1526.79,"1526-10-15 00:00:00"
1526,11,0,1526.88,"1526-11-15 00:00:00"
1526,12,1,1526.96,"1526-12-15 00:00:00"
1527,1,2,1527.04,"1527-1-15 00:00:00"
1527,2,0,1527.12,"1527-2-15 00:00:00"
1527,3,1,1527.21,"1527-3-15 00:00:00"
1527,4,0,1527.29,"1527-4-15 00:00:00"
1527,5,0,1527.38,"1527-5-15 00:00:00"
1527,6,-1,1527.46,"1527-6-15 00:00:00"
1527,7,0,1527.54,"1527-7-15 00:00:00"
1527,8,-1,1527.62,"1527-8-15 00:00:00"
1527,9,1,1527.71,"1527-9-15 00:00:00"
1527,10,-1,1527.79,"1527-10-15 00:00:00"
1527,11,2,1527.88,"1527-11-15 00:00:00"
1527,12,-1,1527.96,"1527-12-15 00:00:00"
1528,1,0,1528.04,"1528-1-15 00:00:00"
1528,2,1,1528.12,"1528-2-15 00:00:00"
1528,3,0,1528.21,"1528-3-15 00:00:00"
1528,4,0,1528.29,"1528-4-15 00:00:00"
1528,5,0,1528.38,"1528-5-15 00:00:00"
1528,6,0,1528.46,"1528-6-15 00:00:00"
1528,7,1,1528.54,"1528-7-15 00:00:00"
1528,8,2,1528.62,"1528-8-15 00:00:00"
1528,9,1,1528.71,"1528-9-15 00:00:00"
1528,10,2,1528.79,"1528-10-15 00:00:00"
1528,11,1,1528.88,"1528-11-15 00:00:00"
1528,12,0,1528.96,"1528-12-15 00:00:00"
1529,1,0,1529.04,"1529-1-15 00:00:00"
1529,2,0,1529.12,"1529-2-15 00:00:00"
1529,3,1,1529.21,"1529-3-15 00:00:00"
1529,4,-1,1529.29,"1529-4-15 00:00:00"
1529,5,1,1529.38,"1529-5-15 00:00:00"
1529,6,2,1529.46,"1529-6-15 00:00:00"
1529,7,1,1529.54,"1529-7-15 00:00:00"
1529,8,3,1529.62,"1529-8-15 00:00:00"
1529,9,0,1529.71,"1529-9-15 00:00:00"
1529,10,1,1529.79,"1529-10-15 00:00:00"
1529,11,1,1529.88,"1529-11-15 00:00:00"
1529,12,1,1529.96,"1529-12-15 00:00:00"
1530,1,0,1530.04,"1530-1-15 00:00:00"
1530,2,0,1530.12,"1530-2-15 00:00:00"
1530,3,-2,1530.21,"1530-3-15 00:00:00"
1530,4,1,1530.29,"1530-4-15 00:00:00"
1530,5,0,1530.38,"1530-5-15 00:00:00"
1530,6,0,1530.46,"1530-6-15 00:00:00"
1530,7,0,1530.54,"1530-7-15 00:00:00"
1530,8,2,1530.62,"1530-8-15 00:00:00"
1530,9,0,1530.71,"1530-9-15 00:00:00"
1530,10,2,1530.79,"1530-10-15 00:00:00"
1530,11,0,1530.88,"1530-11-15 00:00:00"
1530,12,1,1530.96,"1530-12-15 00:00:00"
1531,1,-2,1531.04,"1531-1-15 00:00:00"
1531,2,0,1531.12,"1531-2-15 00:00:00"
1531,3,2,1531.21,"1531-3-15 00:00:00"
1531,4,2,1531.29,"1531-4-15 00:00:00"
1531,5,1,1531.38,"1531-5-15 00:00:00"
1531,6,1,1531.46,"1531-6-15 00:00:00"
1531,7,-1,1531.54,"1531-7-15 00:00:00"
1531,8,0,1531.62,"1531-8-15 00:00:00"
1531,9,-1,1531.71,"1531-9-15 00:00:00"
1531,10,0,1531.79,"1531-10-15 00:00:00"
1531,11,0,1531.88,"1531-11-15 00:00:00"
1531,12,2,1531.96,"1531-12-15 00:00:00"
1532,1,2,1532.04,"1532-1-15 00:00:00"
1532,2,0,1532.12,"1532-2-15 00:00:00"
1532,3,0,1532.21,"1532-3-15 00:00:00"
1532,4,0,1532.29,"1532-4-15 00:00:00"
1532,5,0,1532.38,"1532-5-15 00:00:00"
1532,6,0,1532.46,"1532-6-15 00:00:00"
1532,7,-2,1532.54,"1532-7-15 00:00:00"
1532,8,-3,1532.62,"1532-8-15 00:00:00"
1532,9,0,1532.71,"1532-9-15 00:00:00"
1532,10,0,1532.79,"1532-10-15 00:00:00"
1532,11,1,1532.88,"1532-11-15 00:00:00"
1532,12,2,1532.96,"1532-12-15 00:00:00"
1533,1,1,1533.04,"1533-1-15 00:00:00"
1533,2,2,1533.12,"1533-2-15 00:00:00"
1533,3,0,1533.21,"1533-3-15 00:00:00"
1533,4,1,1533.29,"1533-4-15 00:00:00"
1533,5,0,1533.38,"1533-5-15 00:00:00"
1533,6,0,1533.46,"1533-6-15 00:00:00"
1533,7,0,1533.54,"1533-7-15 00:00:00"
1533,8,0,1533.62,"1533-8-15 00:00:00"
1533,9,0,1533.71,"1533-9-15 00:00:00"
1533,10,0,1533.79,"1533-10-15 00:00:00"
1533,11,1,1533.88,"1533-11-15 00:00:00"
1533,12,1,1533.96,"1533-12-15 00:00:00"
1534,1,2,1534.04,"1534-1-15 00:00:00"
1534,2,1,1534.12,"1534-2-15 00:00:00"
1534,3,0,1534.21,"1534-3-15 00:00:00"
1534,4,1,1534.29,"1534-4-15 00:00:00"
1534,5,-2,1534.38,"1534-5-15 00:00:00"
1534,6,-1,1534.46,"1534-6-15 00:00:00"
1534,7,-3,1534.54,"1534-7-15 00:00:00"
1534,8,-3,1534.62,"1534-8-15 00:00:00"
1534,9,1,1534.71,"1534-9-15 00:00:00"
1534,10,0,1534.79,"1534-10-15 00:00:00"
1534,11,0,1534.88,"1534-11-15 00:00:00"
1534,12,0,1534.96,"1534-12-15 00:00:00"
1535,1,0,1535.04,"1535-1-15 00:00:00"
1535,2,1,1535.12,"1535-2-15 00:00:00"
1535,3,2,1535.21,"1535-3-15 00:00:00"
1535,4,2,1535.29,"1535-4-15 00:00:00"
1535,5,2,1535.38,"1535-5-15 00:00:00"
1535,6,-1,1535.46,"1535-6-15 00:00:00"
1535,7,0,1535.54,"1535-7-15 00:00:00"
1535,8,2,1535.62,"1535-8-15 00:00:00"
1535,9,0,1535.71,"1535-9-15 00:00:00"
1535,10,0,1535.79,"1535-10-15 00:00:00"
1535,11,2,1535.88,"1535-11-15 00:00:00"
1535,12,0,1535.96,"1535-12-15 00:00:00"
1536,1,0,1536.04,"1536-1-15 00:00:00"
1536,2,-1,1536.12,"1536-2-15 00:00:00"
1536,3,0,1536.21,"1536-3-15 00:00:00"
1536,4,-1,1536.29,"1536-4-15 00:00:00"
1536,5,-2,1536.38,"1536-5-15 00:00:00"
1536,6,-2,1536.46,"1536-6-15 00:00:00"
1536,7,-2,1536.54,"1536-7-15 00:00:00"
1536,8,-2,1536.62,"1536-8-15 00:00:00"
1536,9,-3,1536.71,"1536-9-15 00:00:00"
1536,10,-1,1536.79,"1536-10-15 00:00:00"
1536,11,0,1536.88,"1536-11-15 00:00:00"
1536,12,0,1536.96,"1536-12-15 00:00:00"
1537,1,0,1537.04,"1537-1-15 00:00:00"
1537,2,1,1537.12,"1537-2-15 00:00:00"
1537,3,1,1537.21,"1537-3-15 00:00:00"
1537,4,1,1537.29,"1537-4-15 00:00:00"
1537,5,2,1537.38,"1537-5-15 00:00:00"
1537,6,3,1537.46,"1537-6-15 00:00:00"
1537,7,2,1537.54,"1537-7-15 00:00:00"
1537,8,1,1537.62,"1537-8-15 00:00:00"
1537,9,1,1537.71,"1537-9-15 00:00:00"
1537,10,0,1537.79,"1537-10-15 00:00:00"
1537,11,-1,1537.88,"1537-11-15 00:00:00"
1537,12,-1,1537.96,"1537-12-15 00:00:00"
1538,1,-1,1538.04,"1538-1-15 00:00:00"
1538,2,0,1538.12,"1538-2-15 00:00:00"
1538,3,-1,1538.21,"1538-3-15 00:00:00"
1538,4,1,1538.29,"1538-4-15 00:00:00"
1538,5,1,1538.38,"1538-5-15 00:00:00"
1538,6,1,1538.46,"1538-6-15 00:00:00"
1538,7,-2,1538.54,"1538-7-15 00:00:00"
1538,8,-2,1538.62,"1538-8-15 00:00:00"
1538,9,0,1538.71,"1538-9-15 00:00:00"
1538,10,0,1538.79,"1538-10-15 00:00:00"
1538,11,1,1538.88,"1538-11-15 00:00:00"
1538,12,2,1538.96,"1538-12-15 00:00:00"
1539,1,1,1539.04,"1539-1-15 00:00:00"
1539,2,0,1539.12,"1539-2-15 00:00:00"
1539,3,1,1539.21,"1539-3-15 00:00:00"
1539,4,1,1539.29,"1539-4-15 00:00:00"
1539,5,3,1539.38,"1539-5-15 00:00:00"
1539,6,1,1539.46,"1539-6-15 00:00:00"
1539,7,1,1539.54,"1539-7-15 00:00:00"
1539,8,2,1539.62,"1539-8-15 00:00:00"
1539,9,2,1539.71,"1539-9-15 00:00:00"
1539,10,3,1539.79,"1539-10-15 00:00:00"
1539,11,2,1539.88,"1539-11-15 00:00:00"
1539,12,3,1539.96,"1539-12-15 00:00:00"
1540,1,2,1540.04,"1540-1-15 00:00:00"
1540,2,-1,1540.12,"1540-2-15 00:00:00"
1540,3,-2,1540.21,"1540-3-15 00:00:00"
1540,4,-2,1540.29,"1540-4-15 00:00:00"
1540,5,-3,1540.38,"1540-5-15 00:00:00"
1540,6,-3,1540.46,"1540-6-15 00:00:00"
1540,7,-3,1540.54,"1540-7-15 00:00:00"
1540,8,-3,1540.62,"1540-8-15 00:00:00"
1540,9,-1,1540.71,"1540-9-15 00:00:00"
1540,10,-1,1540.79,"1540-10-15 00:00:00"
1540,11,1,1540.88,"1540-11-15 00:00:00"
1540,12,1,1540.96,"1540-12-15 00:00:00"
1541,1,1,1541.04,"1541-1-15 00:00:00"
1541,2,0,1541.12,"1541-2-15 00:00:00"
1541,3,0,1541.21,"1541-3-15 00:00:00"
1541,4,0,1541.29,"1541-4-15 00:00:00"
1541,5,-2,1541.38,"1541-5-15 00:00:00"
1541,6,-2,1541.46,"1541-6-15 00:00:00"
1541,7,0,1541.54,"1541-7-15 00:00:00"
1541,8,2,1541.62,"1541-8-15 00:00:00"
1541,9,1,1541.71,"1541-9-15 00:00:00"
1541,10,1,1541.79,"1541-10-15 00:00:00"
1541,11,0,1541.88,"1541-11-15 00:00:00"
1541,12,1,1541.96,"1541-12-15 00:00:00"
1542,1,1,1542.04,"1542-1-15 00:00:00"
1542,2,1,1542.12,"1542-2-15 00:00:00"
1542,3,2,1542.21,"1542-3-15 00:00:00"
1542,4,1,1542.29,"1542-4-15 00:00:00"
1542,5,1,1542.38,"1542-5-15 00:00:00"
1542,6,2,1542.46,"1542-6-15 00:00:00"
1542,7,2,1542.54,"1542-7-15 00:00:00"
1542,8,1,1542.62,"1542-8-15 00:00:00"
1542,9,0,1542.71,"1542-9-15 00:00:00"
